Sentence,Previous,Next
"Bandhua Mukti Morcha vs Union Of India & Others on 16
December, 1983
Equivalent citations: 1984 AIR 802, 1984 SCR (2) 67, AIR 1984 SUPREME
COURT 802, 1984 LAB.",,"I. C. 560, 1984 SCC (L&S) 389, (1984) 2 LAB LN 60,
1984 (3) SCC 161
Author: P.N."
"SEN, AMARENDRA NATH (J)
CITATION:
 1984 AIR  802            1984 SCR  (2)  67
 1984 SCC  (3) 161        1983 SCALE  (2)1151
 CITATOR INFO :
 R          1984 SC1099  (3)
 RF         1986 SC 847  (30)
 RF         1987 SC 990  (16)
 R          1987 SC1086  (3,4,5,6,7)
 R          1988 SC1863  (3,9,10)
 F          1989 SC 549  (15)
 RF         1989 SC 653  (12)
 F          1990 SC2060  (3)
 F          1991 SC 101  (35)
 RF         1991 SC 420  (7)
 RF         1991 SC1117  (7)
 RF         1991 SC1420  (25)
 RF         1992 SC  38  (4)
 RF         1992 SC1858  (11)
ACT:Bandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 1     Constitution   of    India.-Article    32(1)-Mode    of
interpreting Article  32-""Appropriate proceedings"",  meaning
of-Letter  addressed   by  a  party  on  behalf  of  persons
belonging  to  socially  and  economically  weaker  sections
complaining violation  of their  rights under various social
welfare  legislations-Whether  can  be  treated  as  a  writ
petition-Maintainability  of-Public   Interest   Litigation-
Nature and scope of.","PATHAK, R.S.","Constitution of  India, Article  32 (2)-Appointment  of
commissions  by  the  Supreme  Court  to  enquire  into  the
complaint made  in the  writ petition  and relying  upon the
commissioners' report-Propriety of-Adversarial Procedure-How
far binding on the Court-Supreme Court Rules, 1966, O, XXXV,
XLVI and XLVII, Rule 6-Code of Civil Procedure, O.XXVI."
"HEADNOTE:
     The petitioner,  an organisation dedicated to the cause
of release  of bonded  labourers in the country, addressed a
letter to Hon'ble Bhagwati, J. alleging: (1) that there were
a large  number of  labourers from  different parts  of  the
country who  were working  in some  of  the  stone  quarriesBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 2situate in district Faridabad, State of
68
Haryana under  ""inhuman and intolerable conditions; (2) that
a large  number of  them were bonded labourers; (3) that the
provisions of  the Constitution  and various  social welfare
laws passed  for the  benefit of  the said  workmen were not
being  implemented   in  regard   to  these  labourers.","Minimum Wages  Act, Workmen's  Compensation Act,  1983,
Payment  of   Wages  Act,  Employees  State  Insurance  Act,
Employees Provident  fund and  Miscellaneous Provisions Act,
Maternity Benefits  Act, 1957-Benefits  accruing under these
Acts-Whether available to mine workers.","The
petitioner also  mentioned in  the letter  the names  of the
stone quarries and particulars of labourers who were working
as bonded  labourers and  prayed that  a writ  be issued for
proper implementation  of  the  various  provisions  of  the
social welfare legislations, such as, Mines Act, 1952 Inter-
State  Migrant   Workmen  (Regulation   of  Employment   and
Conditions  of   Service)   Act,   1979,   Contract   Labour
(Regulation and  Abolition) Act,  1970, Bonded Labour System
(Abolition)  Act,   1976,  Minimum   Wages  Act,   Workmen's
Compensation Act,  Payment of  Wages  Act,  Employees  State
Insurance Act,  Maternity Benefits  Act etc."
"32, this Court
is  not   empowered  to   appoint  any   commission  or   an
investigating body  to enquire  into the allegations made in
the writ  petition; (4) Reports made by such commissions are
based only on ex-parte statements which have not been testedBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 3by cross-examination  and therefore they have no evidentiary
value; and  (5) there might be forced labourers in the stone
quarries and stone crushers in the State of Haryana but they
were  not  bonded  labourers  within  the  meaning  of  that
expression as  used in  the Bonded Labour System (Abolition)
Act, 1976.","The  respondents  contended:  (1)  Article  32  of  the
Constitution is  not attracted  to the  instant case  as  no
fundamental right  of  the  petitioner  or  of  the  workmen
referred to  in the  petition is  infringed;  (2)  A  letter
addressed by  a party  to this  Court cannot be treated as a
writ petition; (3) In a proceeding under Art.","Rejecting all  the contentions  and allowing  the  writ
petition on merits, the Court
^
     HELD:  The  State  Government's  objection  as  to  the
maintainability of the writ petition under Article 32 of the
Constitution by  the petitioners  is reprehensible."
"This right to
live with  human dignity enshrined in Article 21 derives its
life breath  from the  Directive Principles  of State PolicyBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 4and particularly  clauses (e)  and (f)  of  Article  39  and
Articles 41  and 42  and at  the least,  therefore, it  must
include protection  of the  health and  strength of workers,
men and  women, and  of the  tender age  of children against
abuse, opportunities  and facilities for children to develop
in a  healthy  manner  and  in  conditions  of  freedom  and
dignity, educational  facilities, just and humane conditions
of  work   and  maternity  relief.","It is  the fundamental  right of  every one in
this country,  assured under  the  interpretation  given  to
Article 21  by this  Court in Francis Mullen's Case, to live
with human  dignity, free  from exploitation.","These  are  the  minimum
requirements which must exist in order to enable a person to
live with  human dignity  and no  State neither  the Central
Government nor  any State  Government-has the  right to take
any action  which will  deprive a person of the enjoyment of
these basic  essentials."
"The State of Haryana must therefore ensure that the
minelessees or  contractors, to  whom it is giving its mines
for  stone  quarrying  operations,  observe  various  social
welfare and  labour laws  enacted for  the  benefit  of  theBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 5workmen.","It must also follow as
a necessary corollary that the State of Haryana in which the
stone quarries  are vested  by reason  of  Haryana  Minerals
(Vesting of  Rights) Act  1973 and  which is  therefore  the
owner of  the mines  cannot while giving its mines for stone
quarrying  operations,  permit  workmen  to  be  denied  the
benefit of  various social  welfare and  labour laws enacted
with a  view to  enabling them  to  live  a  life  of  human
dignity.","This  is a  constitutional obligation  which can be
enforced against  the Central  Government and  the State  of
Haryana  by   a  writ  petition  under  Article  32  of  the
Constitution."
"There
71
is no  limitation  in  regard  to  the  kind  of  proceedingBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 6envisaged in  clause (1)  of  Article  32  except  that  the
proceeding must  be ""appropriate""  and this  requirement  of
appropriateness must  be judged  in the light of the purpose
for which the proceeding is to be taken, namely, enforcement
of a fundamental right.","Clause (1) of Article 32 says that the Supreme Court
can be  moved for  enforcement of a fundamental right by any
'appropriate' proceeding.","The Constitution makers deliberately
did not  lay down  any particular  form  of  proceeding  for
enforcement of  a fundamental  right nor  did they stipulate
that such  proceeding should conform to any rigid pattern or
straight jacket formula as, for example, in England, because
they knew  that in  a country  like India, where there is so
much of  poverty,  ignorance,  illiteracy,  deprivation  and
exploitation,  any   insistence  on   a  rigid   formula  of
proceeding for  enforcement of  a  fundamental  right  would
become self  defeating because it would place enforcement of
fundamental rights  beyond the  reach of  the common man and
the entire  remedy for  enforcement  of  fundamental  rights
which the  Constitution makers  regarded as  so precious and
invaluable  that  they  elevated  it  to  the  status  of  a
fundamental right,  would become  a mere rope of sand so far
as the  large masses  of the  people  in  this  country  are
concerned."
"When  the Court  entertains  public  interest,
litigation, it  does not do so in a cavilling spirit or in a
confrontational mood  or with a view to tilting at executive
authority or  seeking to  unsurp it, but its attempt is only
to  ensure   observance  of   social  and   economic  rescue
programmes, legislative as well as executive, framed for the
benefit of  the have-nots and the handicapped and to protect
them against violation of their basic human rights, which isBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 7also the  constitutional obligation  of the  executive.","Public  Interest litigation  is not in the nature of
adversary  litigation   but  it   is  a   challenge  and  an
opportunity to the government and its officers to make basic
human rights  meaningful  to  the  deprived  and  vulnerable
sections of  the community  and to  assure them  social  and
economic  justice   which  is  the  signature  tune  of  our
Constitution.","The
Court is  thus merely  assisting in  the realisation  of the
constitutional objectives."
"It  is not  at all  obligatory that  an  adversarial
procedure, where each party produces his own evidence tested
by cross  examination by  the other  side and the judge sitsBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 8like an  umpire and  decides the  case only  on the basis of
such material as may be produced before him by both parties,
must be  followed in  a  proceeding  under  Article  32  for
enforcement of  a fundamental  right.","[108 B-H, 109 A-B]
     8.","In  fact, there  is no
such constitutional  compulsion enacted  in  clause  (2)  of
Article 32  or in  any other part of the Constitution."
"And  this  is
clearly permissible on the language of clause (2) of Article
32 because  the  Constitution  makers  while  enacting  that
clause have  deliberately and  advisedly not  used and wordsBandhua Mukti Morcha vs Union Of India & Others on 16 December, 1983
Indian Kanoon - http://indiankanoon.org/doc/595099/ 9restricting the  power of  the court  to adopt any procedure
which it  considers appropriate  in the  circumstances of  a
given case for enforcing a fundamental right.","Therefore   the  Courts  should  abandon  the
laissez faire  approach in the judicial process particularly
where it  involves a  question of enforcement of fundamental
rights and forge new tools, devise new methods and adopt new
strategies for  the purpose  of  making  fundamental  rights
meaningful for  the large  masses of  people.","[110 B-F]
     10."
