Sentence,Previous,Next
"Objections of RBI and ECI to the Electoral Bond Scheme .................. 13
     v.         Electoral Bond Scheme .......................................................................... 18
B.","Transparency ........................................................................................... 11
     iv.","Issues ........................................................................................................... 23
C. Submissions................................................................................................ 24
     i.         Submissions of petitioners .................................................................... 24
     ii."
"Balancing the right to information and the right to informational privacy
                        103
                   a)     Judicial Approach towards balancing fundamental rights: establishing
                   the double proportionality standard ...................................................... 103
                   b)     Validity of the Electoral Bond Scheme, Section 11 of the Finance Act
                   and Section 137 of the Finance Act ..................................................... 113
        c.         Validity of Section 154 of the Finance Act amending Section 182(3) to the
Companies Act ............................................................................................ 120
G. Challenge to unlimited corporate funding .............................................. 124
  i.","Privacy vis-à-vis political party .......................................................... 103
             III.","The application of the principle of non-arbitrariness ........................ 127
        a.         Arbitrariness as a facet of Article 14..................................................... 127
        b."
"The law relating to financial
       contributions to political parties focusses on (a) contributions by corporate
1 “Electoral Bond Scheme” or “Scheme”
2 “Finance Act”
3 Section 135 of the Finance Act 2017; “RBI Act”
4 Section 137 of the Finance Act 2017;“RPA”
5 Section 11 of the Finance Act 2017; “IT Act”
6 Section 154 of the Finance Act 2017; “Companies Act”
                                                         4
                                                                                                                 PART A
            entities; (b) disclosure of information on contributions; and (c) income tax
            exemptions for donations.","To understand the context in which the legislative amendments were
       introduced, it is necessary to juxtapose the amendments with the regime on
       financial contributions to political parties.",i.
"Objections of RBI and ECI to the Electoral Bond Scheme
   17.",iv.,"On 2 January 2017, the RBI wrote a letter to the Joint Secretary in the Ministry
         of Finance on the proposal of the Government of India to enable Scheduled
         Banks to issue electoral bearer bonds for the purpose of donations to political
         parties before the Finance Act 2017 was enacted."
"The draft of the Electoral Bond Scheme was circulated to the RBI for its
    comments.",20.,"The draft conferred notified scheduled commercial banks, apart
    from the RBI, with the power to issue electoral bonds."
"The Electoral Bond Scheme was placed for deliberation and guidance by the
    RBI before the Committee of the Central Board.","The RBI recommended that electoral bonds may be
    issued in electronic form because it would (a) reduce the risk of their being
    used for money laundering; (b) reduce the cost; and (c) be more secure.Association For Democratics Reforms vs Union Of India on 15 February, 2024
Indian Kanoon - http://indiankanoon.org/doc/121499464/ 1521.","The Committee conveyed
    serious reservations on the issuance of electoral bonds in the physical form."
"17
                                                                                        PART A
v.         Electoral Bond Scheme
     24.","Unlimited corporate funding would increase the use of black money for
         political funding through shell companies; and
    b.   Capped corporate funding ensured that only profitable companies with
         a proven track record could donate to political parties.","On 2 January 2018, the Ministry of Finance in the Department of Economic
           Affairs notified the Electoral Bond Scheme 2018 in exercise of the power
           under Section 31(3) of the RBI Act."
"On 2 January 2018, the Ministry of Finance in the Department of Economic
           Affairs notified the Electoral Bond Scheme 2018 in exercise of the power
           under Section 31(3) of the RBI Act.","17
                                                                                        PART A
v.         Electoral Bond Scheme
     24.","The Electoral Bond is a bond issued in
           the nature of promissory note which is a bearer banking instrument and does
           not carry the name of the buyer.24 The features of the Scheme are as follows:
           a."
"An Electoral Bond can only be encashed by an eligible political party.27Association For Democratics Reforms vs Union Of India on 15 February, 2024
Indian Kanoon - http://indiankanoon.org/doc/121499464/ 18                  A political party, to be eligible to receive an electoral bond, has to be
                  registered under Section 29A of the RP Act, and ought to have secured
                  not less than one per cent of the votes polled in the last general election
                  to the House of the People or the Legislative Assembly of the State.28 An
                  eligible political party can encash a bond only through a bank account
     24 Electoral Bond Scheme, Clause 2(a)
     25 Electoral Bond Scheme, Clause 3(1)
     26 Electoral Bond Scheme, clause 3(3)
     27 Electoral Bond Scheme, Clause 12
     28 Electoral Bond Scheme, Clause 3(3)
                                                  18
                                                                               PART A
             with an authorised bank.29 The scheme has notified the State Bank of
             India as the bank authorised to issue and encash bonds;30
      c.     The instructions issued by the Reserve Bank of India regarding KYC
             apply to buyers of the bond.","An individual can buy bonds either singly or jointly with
                  other individuals;26
           b.","The authorised bank may call for additional
             KYC documents if necessary;31
      d.      Payments for the issuance of the bond are accepted in Indian rupees,
             through demand draft, cheque, Electronic Clearing System or direct
             debit to the buyer’s account."
"If the bond is not encashed within fifteen days, it will be
             deposited by the authorised bank with the Prime Minister’s Relief Fund;35
      g.     A buyer who wishes to purchase electoral bond(s) can apply in the
             format specified in Annexure II of the Scheme.36 The issuing branch shall
29 Electoral Bond Scheme, Clause 3(4)
30 Electoral Bond Scheme, Clause 2(b)
31 Electoral Bond Scheme, Clause 4(2)
32 Electoral Bond Scheme, Clause 11
33 Electoral Bond Scheme, Clause 5
34 Electoral Bond Scheme, Clause 6
35 Electoral Bond Scheme, Clause 12(2)
36 Electoral Bond Scheme, Clause 7(1)
                                            19
                                                                                 PART A
             issue the bond if all the requirements are fulfilled.37 The application shall
             be rejected if the application is not KYC compliant or if the application
             does not meet the requirements of the scheme;38
      h.     The bond issued is non-refundable;39
      i.","No payment will
             be made to a political party if the bond is deposited after the expiry of
             fifteen days34.","The information furnished by the buyer is to be treated as confidential by
             the authorized bank."
