Sentence,Previous,Next
"14-Central Civil Services
(Pension) Rules,  1972 and Regulations governing pension for
Armed  Forces  Personnel-Liberalisation  in  computation  of
pension effective  from specified date-Divides pensioners so
as to  confer benefit  on some  while denying  it to others-
Classification arbitrary, devoid of rational nexus to object
of liberalisation and violative of Art.","Nakara & Others vs Union Of India on 17 December, 1982
Indian Kanoon - http://indiankanoon.org/doc/1416283/ 1 R          1987 SC 943  (8)
 RF         1987 SC2359  (17)
 D          1988 SC 501  (3,4,6,7)
 RF         1988 SC 740  (13)
 D          1988 SC1291  (9)
 R          1988 SC1645  (8)
 D          1989 SC 665  (7)
 F          1989 SC2088  (7)
 R          1990 SC 334  (104)
 RF         1990 SC 883  (6)
 E          1990 SC1760  (9)
 RF         1990 SC1923  (3)
 D          1990 SC2043  (2,7)
 E          1991 SC1182  (6 TO 16,18,19,23)
 RF         1991 SC1743  (1,2,4)
 R          1992 SC  96  (11)
 R          1992 SC 767  (2,4,TO 8,10)
ACT:
     Constitution of  India, Art.","14
     Constitution   of    India,   Art."
"Rules  and  Regulations  governing  grant  of  pension-
Pension is  a right-Deferred  portion  of  compensation  for
service rendered-Also a social-welfare measure.","14-Doctrine    of
severability-Severance may have effect of enlarging scope of
legislation.","HEADNOTE:
     By a  Memorandum dated  May 25,  1979 (Exhibit P-1) the
Government of  India liberalised the formula for computation
of pension  in respect  of employees governed by the Central
Civil Services  (Pension) Rules, 1972 and made it applicable
to employees retiring on or after March 31, 1979."
"HEADNOTE:
     By a  Memorandum dated  May 25,  1979 (Exhibit P-1) the
Government of  India liberalised the formula for computation
of pension  in respect  of employees governed by the Central
Civil Services  (Pension) Rules, 1972 and made it applicable
to employees retiring on or after March 31, 1979.","Rules  and  Regulations  governing  grant  of  pension-
Pension is  a right-Deferred  portion  of  compensation  for
service rendered-Also a social-welfare measure.","By another
Memorandum issued  on September  23, 1979  (Exhibit P-2)  it
extended the  same, subject  to certain  limitations, to the
Armed Forces'  personnel retiring on or after April 1, 1979."
"3, a  registered  society
espousing the  cause of  pensioners all  over  the  country,
challenged the validity of the above two memoranda in so far
as the  liberalisation in  computation of  pension had  been
made applicable  only to those retiring on or after the date
specified and  the benefit of liberalisation had been deniedD.S.","Petitioners 1  and 2  who had  retired in the year 1972 from
the Central  Civil Service  and the  Armed  Forces'  service
respectively, and  petitioner No.","Nakara & Others vs Union Of India on 17 December, 1982
Indian Kanoon - http://indiankanoon.org/doc/1416283/ 2to all those who had retired earlier."
"Counsel for  petitioners contended  that all pensioners
entitled to  receive pension under the relevant rules form a
class irrespective  of the  dates of  their  retirement  and
there cannot  be a  mini-classification within  this  class;
that the  differential treatment  accorded to  those who had
retired prior  to the specified date is violative of Art.","Nakara & Others vs Union Of India on 17 December, 1982
Indian Kanoon - http://indiankanoon.org/doc/1416283/ 2to all those who had retired earlier.","14
as the  choice of specified date is wholly arbitrary and the
classification  based  on  the  fortuitous  circumstance  of
retirement before  or subsequent  to the  specified date  is
invalid;  and   that  the   scheme  of   liberalisation   in
computation of  pension  must  be  uniformly  enforced  with
regard to all pensioners."
"14
as the  choice of specified date is wholly arbitrary and the
classification  based  on  the  fortuitous  circumstance  of
retirement before  or subsequent  to the  specified date  is
invalid;  and   that  the   scheme  of   liberalisation   in
computation of  pension  must  be  uniformly  enforced  with
regard to all pensioners.","Counsel for  petitioners contended  that all pensioners
entitled to  receive pension under the relevant rules form a
class irrespective  of the  dates of  their  retirement  and
there cannot  be a  mini-classification within  this  class;
that the  differential treatment  accorded to  those who had
retired prior  to the specified date is violative of Art.","166
     Counsel for respondents contended that a classification
based on  the date of retirement is valid for the purpose of
granting pensionary  benefits; that the specified date is an
integral part  of  the  scheme  of  liberalisation  and  the
Government would  never have  enforced the  scheme devoid of
the date;  that  the  doctrine  of  severability  cannot  be
invoked to  sever the  specified date  from the scheme as it
would have  the effect  of enlarging the class of pensioners
covered by the scheme and when the legislature has expressly
defined the  class to which the legislation applies it would
be outside  the judicial function to enlarge the class; that
there is not a single case where the court has included some
category within the scope of provisions of a law to maintain
its   constitutionality;    that   since   the   scheme   of
liberalisation has  financial implications, the Court cannot
make it  retroactive;  that  if  more  persons  divided  the
available cake  the residue  falling to  the share  of each,
especially to  the share  of those  who are  not before  the
court would become far less and therefore no relief could be
given to  the petitioners  that pension is always correlated
to the  date of  retirement and  the court cannot change the
date of  retirement and  impose  fresh  commutation  benefit
which may  burden the  exchequer to  the  tune  of  Rs."
"166
     Counsel for respondents contended that a classification
based on  the date of retirement is valid for the purpose of
granting pensionary  benefits; that the specified date is an
integral part  of  the  scheme  of  liberalisation  and  the
Government would  never have  enforced the  scheme devoid of
the date;  that  the  doctrine  of  severability  cannot  be
invoked to  sever the  specified date  from the scheme as it
would have  the effect  of enlarging the class of pensioners
covered by the scheme and when the legislature has expressly
defined the  class to which the legislation applies it would
be outside  the judicial function to enlarge the class; that
there is not a single case where the court has included some
category within the scope of provisions of a law to maintain
its   constitutionality;    that   since   the   scheme   of
liberalisation has  financial implications, the Court cannot
make it  retroactive;  that  if  more  persons  divided  the
available cake  the residue  falling to  the share  of each,
especially to  the share  of those  who are  not before  the
court would become far less and therefore no relief could be
given to  the petitioners  that pension is always correlated
to the  date of  retirement and  the court cannot change the
date of  retirement and  impose  fresh  commutation  benefit
which may  burden the  exchequer to  the  tune  of  Rs.","14
as the  choice of specified date is wholly arbitrary and the
classification  based  on  the  fortuitous  circumstance  of
retirement before  or subsequent  to the  specified date  is
invalid;  and   that  the   scheme  of   liberalisation   in
computation of  pension  must  be  uniformly  enforced  with
regard to all pensioners.","233
crores; and that the third petitioner has no locus standi in
the case."
"167
     In the  instant case,  looking to  the  goals  for  the
attainment of  which pension  is paid  and the welfare State
proposed to  be  set  up  in  the  light  of  the  Directive
Principles of  State Policy and Preamble to the Constitution
it indisputable  that pensioners for payment of pension from
a  class.","1014, referred to.","When  the   State  considered  it  necessary  to
liberalise the  pension scheme  in order  to augment  social
security in  old age  to government  servants it  could  not
grant the  benefits of  liberalisation  only  to  those  who
retired subsequent  to the  specified date and deny the same
to those  who had  retired prior  to that date."
"When  the   State  considered  it  necessary  to
liberalise the  pension scheme  in order  to augment  social
security in  old age  to government  servants it  could  not
grant the  benefits of  liberalisation  only  to  those  who
retired subsequent  to the  specified date and deny the same
to those  who had  retired prior  to that date.","167
     In the  instant case,  looking to  the  goals  for  the
attainment of  which pension  is paid  and the welfare State
proposed to  be  set  up  in  the  light  of  the  Directive
Principles of  State Policy and Preamble to the Constitution
it indisputable  that pensioners for payment of pension from
a  class.","The division
which classified  the pensioners  into two  classes  on  the
basis of  the specified  date was  devoid  of  any  rational
principle and  was both  arbitrary  and  unprincipled  being
unrelated to  the object  sought to  be achieved by grant of
liberalised pension  and the  guarantee of  equal  treatment
contained in  Art."
"The division
which classified  the pensioners  into two  classes  on  the
basis of  the specified  date was  devoid  of  any  rational
principle and  was both  arbitrary  and  unprincipled  being
unrelated to  the object  sought to  be achieved by grant of
liberalised pension  and the  guarantee of  equal  treatment
contained in  Art.","When  the   State  considered  it  necessary  to
liberalise the  pension scheme  in order  to augment  social
security in  old age  to government  servants it  could  not
grant the  benefits of  liberalisation  only  to  those  who
retired subsequent  to the  specified date and deny the same
to those  who had  retired prior  to that date.","14  was violated  inasmuch as the pension
rules  which   were  statutory   in  character   meted   out
differential and  discriminatory treatment  to equals in the
matter of computation of pension from the dates specified in
the impugned memoranda."
