Sentence,Previous,Next
"Article 21,  19(1)  (e)   &  (g)  -  Pavement  and  slum
dwellers Forcible  eviction and  removal of  their  hutments
under Bombay  Municipal Corporation  Act -  Whether deprives
them of  their means of livelihood and consequently right to
life -  Right to  life - Meaning of - Whether includes right
to livelihood.","Etc on 10 July, 1985
Indian Kanoon - http://indiankanoon.org/doc/709776/ 1behind -  No estoppel  can be claimed against enforcement of
Fundamental Rights.","Article 32 & 21  - Writ  Petition against procedurally
ultra vires Government action - Whether maintainable."
"4610-12/81 live
on pavements and in slums in the city of Bombay.","HEADNOTE:
     The petitioners  in writ petitions Nos.","Some of the
petitioners in  the second batch of writ petitions Nos.5068-
79 of  1981, are  residents of  Kamraj  Nagar,  a  basti  or
habitation which  is alleged  to have come into existence in
about 1960-61,  near the  Western Express  Highway,  Bombay,
while others  are residing in structures constructed off the
Tulsi Pipe  Road, Mahim, Bombay."
"52
     Some  time   in  1981,   the  respondents  -  State  of
Maharashtra and Bombay Municipal Corporation took a decision
that all pavement dwellers and the slum or busti dwellers in
the city  of Bombay will be evicted forcibly and deported to
their respective  places of  origin  or  removed  to  places
outside the  city of  Bombay.","The Peoples Union for Civil
Liberties, Committee for the Protection of Democratic Rights
and two journalists have also joined in the writ petitions.","Pursuant to that decision, the
pavement dwellings  of some  of the petitioners were in fact
demolished by  the Bombay Municipal Corporation."
"In  writ   petitions  filed   under  Article   32,  the
petitioners challenged  the decision  of the  respondents to
demolish the pavement dwellings and the slum hutments on the
grounds (i)  that  evicting  a  pavement  dweller  from  hisOlga Tellis & Ors vs Bombay Municipal Corporation & Ors.","On such undertaking being given,
the respondents  agreed that the huts will not be demolished
until October 15, 1981 and the writ petition was disposed of
accordingly.","Etc on 10 July, 1985
Indian Kanoon - http://indiankanoon.org/doc/709776/ 2habitat amounts to depriving him of his right to livelihood,
which is  comprehended in the right guaranteed by Article 21
of the  Constitution that no person shall be deprived of his
life except  according to procedure established by law, (ii)
that the  impugned action  of the  State Government  and the
Bombay Municipal  Corporation is violative of the provisions
contained in  Article  19(1)(3),  19(1)(g)  and  21  of  the
Constitution, (iii) that the procedure prescribed by Section
314 of  the Bombay  Municipal Corporation  Act, 1888 for the
removal of  encroachments from  pavements is  arbitrary  and
unreasonable since,  not only  does it  not provide  for the
giving of  a notice  before the  removal of  an encroachment
but, expressly  enables that  the Municipal Commissioner may
cause the  encroachments to be removed without notice , (iv)
that it  is constitutionally  impermissible to  characterise
the  pavement   dwellers  as  'trespassers',  because  their
occupation of  pavements arises  from economic  compulsions;
and (v)  that the  Court must  determine the  content of the
'right to  life', the  function of  property  in  a  welfare
state, the  dimension and true meaning of the constitutional
mandate that  property must  subserve common good, the sweep
of the  right to  reside and  settle  in  any  part  of  the
territory of  India which is guaranteed by Article 19(1) (a)
and the  right to carry on any occupation, trade or business
which is  guaranteed by  Article 19(1)  (g) ,  the  competing
claims of  pavement dwellers  on the  one hand  and  of  the
pedestrians  on  the  other  and,  the  larger  question  of
ensuring equality before the law."
"Etc on 10 July, 1985
Indian Kanoon - http://indiankanoon.org/doc/709776/ 3them; (5)  that no  deprivation of  life, either directly or
indirectly is  involved in  the eviction  of  the  slum  and
pavement  dweller   from  public   places.","The right conferred by Article
19(1) (e)  of the  Constitution to  reside and settle in any
part of  India  cannot  be  read  to  confer  a  licence  to
encroach and  trespass upon  public property;  (3) that  the
provisions of  sections 312,  313  and  314  of  the  Bombay
Municipal Corporation  Act do  not violate the Constitution,
but are conceived in public interest and great care is taken
by the authorities to ensure that no harassment is caused to
any pavement  dweller by  enforcing the provisions; (4) that
the huts  near the  Western  Express  Highway,  Vile  Parle,
Bombay, were  constructed on  an accessory  road which  is a
part of  the Highway  itself, and  were never regularised by
the Corporation and no registration numbers were assigned toOlga Tellis & Ors vs Bombay Municipal Corporation & Ors.","The   Municipal
Corporation is  under an obligation under section 314 of the
B.M.C."
"It would  be unrealistic on the part of the
Court to  reject  the  petitions  on  the  ground  that  the
petitioners have not adduced evidence to show that they will
be rendered  jobless if  they are evicted from the slums and
pavements.","It  is by  that process that the
core of  the problem  can  be  reached  and  a  satisfactory
solution found.","Common  sense,  which  is  a  cluster  of  life's
experiences, is  often more  dependable than the rival facts
presented by warring litigants."
"These  facts  constitute
empirical evidence to justify the conclusion that persons in
the position  of petitioners  live in slums and on pavements
because they  have small jobs to nurse in the city and there
is nowhere  else to  live.","The undisputed fact
that even after eviction, the squatters return to the cities
affords proof  of  that  position.","Evidently, they choose a pavement
or a  slum in  the vicinity of their place of work, the time
otherwise taken  in commuting  and its cost being forbidding
for their slender means."
"Evidently, they choose a pavement
or a  slum in  the vicinity of their place of work, the time
otherwise taken  in commuting  and its cost being forbidding
for their slender means.","These  facts  constitute
empirical evidence to justify the conclusion that persons in
the position  of petitioners  live in slums and on pavements
because they  have small jobs to nurse in the city and there
is nowhere  else to  live.","To lose the pavement or the slum is
to lose  the job."
"To lose the pavement or the slum is
to lose  the job.","Evidently, they choose a pavement
or a  slum in  the vicinity of their place of work, the time
otherwise taken  in commuting  and its cost being forbidding
for their slender means.","The conclusion, therefore, in terms of the
constitutional phraseology  is  that  the  eviction  of  the
petitioners will lead to deprivation of their livelihood and
consequently to the deprivation of life."
"[94 E-F]
     4.2 Pavement dwellers who were censused or who happened
to be  censused in  1976 should  be given,  though not  as a
condition precedent  to their  removal, alternate pitches at
Malavani  or,   at  such   other  convenient  place  as  the
Government considers  reasonable but  not  farther  away  in
terms of  distance; slum  dwellers who  were given  identity
cards and  whose dwellings  were numbered in the 1976 census
must be  given alternate sites for their resettlement; slums
which have been in existence for a long time, say for twenty
years or  more, and  which have  been improved and developed
will not  be removed  unless the land on which they stand or
the appurtenant  land, is  required for a public purpose, in
which  case,   alternate  sites  of  accommodation  will  be
provided to
61
them; the  'Low Income  Scheme Shelter  Programme' which  is
proposed to  be undertaken  with the  aid of  the World Bank
will  be   pursued  earnestly;  and  the  'Slum  Upgradation
Programme (SUP)' under which basic amenities are to be given
to slum dwellers will be implemented without delay.","Having considered those contentions the Court is of the
opinion that the Commissioner was justified in directing the
removal of the encroachments committed by the petitioners on
pavements, footpaths or accessory roads.","In order
to minimise  the hardship  involved  in  any  eviction,  the
slums, wherever  situated, will  not be  removed  until  one
month after  the end  of the current monsoon season, that is
until October  31, 1985  and, thereafter, only in accordance
with this  judgment."
