,NULL
2000,[]
three years,"[('any information that is grossly offensive', 'this section\nwas not in the act as originally enacted, but came into force by virtue of an amendment act of 2009\nwith effect from 27.10.2009. since all the arguments raised by several counsel for the petitioners\ndeal with the unconstitutionality of this section it is set out hereinbelow:\n""66-a. punishment for sending offensive messages through communication service,\netc.-any person who sends, by means of a computer resource or a communication\ndevice,-\n(a) E22 or has E10 or\n(b) any information which he knows to be false, but for the purpose of causing\nannoyance, inconvenience, danger, obstruction, insult, injury, criminal intimidation,\nenmity, hatred or ill will, persistently by making use of such computer resource or a\ncommunication device; or\n(c) any electronic mail or electronic mail message for the purpose of causing\nannoyance or inconvenience or to deceive or to mislead the addressee or recipient\nabout the origin of such messages, shall be punishable with imprisonment for a term\nwhich may extend to T4 and with fine.'), ('menacing character', 'this section\nwas not in the act as originally enacted, but came into force by virtue of an amendment act of 2009\nwith effect from 27.10.2009. since all the arguments raised by several counsel for the petitioners\ndeal with the unconstitutionality of this section it is set out hereinbelow:\n""66-a. punishment for sending offensive messages through communication service,\netc.-any person who sends, by means of a computer resource or a communication\ndevice,-\n(a) E22 or has E10 or\n(b) any information which he knows to be false, but for the purpose of causing\nannoyance, inconvenience, danger, obstruction, insult, injury, criminal intimidation,\nenmity, hatred or ill will, persistently by making use of such computer resource or a\ncommunication device; or\n(c) any electronic mail or electronic mail message for the purpose of causing\nannoyance or inconvenience or to deceive or to mislead the addressee or recipient\nabout the origin of such messages, shall be punishable with imprisonment for a term\nwhich may extend to T4 and with fine.')]"
2015,"[('menacing character', 'if any person-\n(a)sends any message by telephone which is grossly offensive or of an indecent, obscene or\nE10 ;shreya singhal vs u.o.i on 24 march, T27\nindian kanoon - http://indiankanoon.org/doc/110813550/ 53(b)sends any message by telephone, or any telegram, which he knows to be false, for the purpose of\ncausing annoyance, inconvenience or needless anxiety to any other person ; or\n(c)persistently makes telephone calls without reasonable cause and for any such purpose as\naforesaid, he shall be liable on summary conviction to a fine not exceeding ten pounds, or to\nimprisonment for a term not exceeding one month, or to both. this section in turn was replaced by section 49 of the british telecommunication act, 1981 and\nsection 43 of the british telecommunication act, 1984. in its present form in the uk, it is section\n127 of the telecommunication act, T13 which is relevant and which is as follows:-\n127.')]"
NULL,"[('disseminate any information', 'we have to ask\nourselves the question: does a particular act lead to disturbance of the current life of the community\nor does it merely affect an individual leaving the tranquility of society undisturbed? going by this\ntest, it is clear that section 66a is intended to punish any person who uses the internet to\nA11 that falls within the sub-clauses of section 66a. it will be immediately\nnoticed that the recipient of the written word that is sent by the person who is accused of the offence\nis not of any importance so far as this section is concerned.'), ('disseminate any information', 'going by this\ntest, it is clear that section 66a is intended to punish any person who uses the internet to\nA11 that falls within the sub-clauses of section 66a. it will be immediately\nnoticed that the recipient of the written word that is sent by the person who is accused of the offence\nis not of any importance so far as this section is concerned. (save and except where under\nsub-clause (c) the addressee or recipient is deceived or misled about the origin of a particular\nmessage.)'), ('cheats by personating', 'for example, under section 66b, whoever\ndishonestly receives or retains any stolen computer resource or communication device is punished\nwith imprisonment. under section 66c, whoever fraudulently or dishonestly makes use of any\nidentification feature of another person is liable to punishment with imprisonment. under section\n66d, whoever E20 becomes liable to punishment with imprisonment.'), ('cheats by personating', 'under section 66c, whoever fraudulently or dishonestly makes use of any\nidentification feature of another person is liable to punishment with imprisonment. under section\n66d, whoever E20 becomes liable to punishment with imprisonment. section 66f\nagain is a narrowly drawn section which inflicts punishment which may extend to imprisonment for\nlife for persons who threaten the unity, integrity, security or sovereignty of india.'), ('cheats by personating', 'under section\n66d, whoever E20 becomes liable to punishment with imprisonment. section 66f\nagain is a narrowly drawn section which inflicts punishment which may extend to imprisonment for\nlife for persons who threaten the unity, integrity, security or sovereignty of india. sections 67 to 67b\ndeal with punishment for offences for publishing or transmitting obscene material including\ndepicting children in sexually explicit acts in electronic form.')]"
1949,[]
1962,[]
1996,[]
two years,[]
1969,[]
1980,[]
1955,[]
2003,"[('menacing character', 'if any person-\n(a)sends any message by telephone which is grossly offensive or of an indecent, obscene or\nE10 ;shreya singhal vs u.o.i on 24 march, T27\nindian kanoon - http://indiankanoon.org/doc/110813550/ 53(b)sends any message by telephone, or any telegram, which he knows to be false, for the purpose of\ncausing annoyance, inconvenience or needless anxiety to any other person ; or\n(c)persistently makes telephone calls without reasonable cause and for any such purpose as\naforesaid, he shall be liable on summary conviction to a fine not exceeding ten pounds, or to\nimprisonment for a term not exceeding one month, or to both. this section in turn was replaced by section 49 of the british telecommunication act, 1981 and\nsection 43 of the british telecommunication act, 1984. in its present form in the uk, it is section\n127 of the telecommunication act, T13 which is relevant and which is as follows:-\n127.'), ('menacing character', 'this section in turn was replaced by section 49 of the british telecommunication act, 1981 and\nsection 43 of the british telecommunication act, 1984. in its present form in the uk, it is section\n127 of the telecommunication act, T13 which is relevant and which is as follows:-\n127. improper use of public electronic communications network a person is guilty of\nan offence if he -\nsends by means of a public electronic communications network a message or other matter that is\ngrossly offensive or of an indecent, obscene or E10 or cause any such message or\nmatter to be so sent.')]"
two months,[]
2014,[]
