Sentence,Previous,Next
"The immediate cause for
concern in these petitions is Section 66A of the Information Technology Act of 2000.","This batch of writ petitions filed under Article 32 of the Constitution of India raises very
important and far-reaching questions relatable primarily to the fundamental right of free speech
and expression guaranteed by Article 19(1)(a) of the Constitution of India.","This Section
was not in the Act as originally enacted, but came into force by virtue of an Amendment Act of 2009
with effect from 27.10.2009."
"This Section
was not in the Act as originally enacted, but came into force by virtue of an Amendment Act of 2009
with effect from 27.10.2009.","The immediate cause for
concern in these petitions is Section 66A of the Information Technology Act of 2000.","Since all the arguments raised by several counsel for the petitioners
deal with the unconstitutionality of this Section it is set out hereinbelow:
""66-A."
"Since all the arguments raised by several counsel for the petitioners
deal with the unconstitutionality of this Section it is set out hereinbelow:
""66-A.","This Section
was not in the Act as originally enacted, but came into force by virtue of an Amendment Act of 2009
with effect from 27.10.2009.","Punishment for sending offensive messages through communication service,
etc.-Any person who sends, by means of a computer resource or a communication
device,-
(a) any information that is grossly offensive or has menacing character; or
(b) any information which he knows to be false, but for the purpose of causing
annoyance, inconvenience, danger, obstruction, insult, injury, criminal intimidation,
enmity, hatred or ill will, persistently by making use of such computer resource or a
communication device; or
(c) any electronic mail or electronic mail message for the purpose of causing
annoyance or inconvenience or to deceive or to mislead the addressee or recipient
about the origin of such messages, shall be punishable with imprisonment for a term
which may extend to three years and with fine."
"A related challenge is also made to Section 69A introduced by the same amendment which readsShreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 2as follows:-
""69-A.","""[1]
2.","Power to issue directions for blocking for public access of any information
through any computer resource.-(1) Where the Central Government or any of its
officers specially authorised by it in this behalf is satisfied that it is necessary or
expedient so to do, in the interest of sovereignty and integrity of India, defence of
India, security of the State, friendly relations with foreign States or public order or for
preventing incitement to the commission of any cognizable offence relating to above,
it may subject to the provisions of sub-section (2), for reasons to be recorded in
writing, by order, direct any agency of the Government or intermediary to block for
access by the public or cause to be blocked for access by the public any information
generated, transmitted, received, stored or hosted in any computer resource."
"The petitioners contend that the very basis of Section 66A - that it has given rise to new forms of
crimes - is incorrect, and that Sections 66B to 67C and various Sections of the Indian Penal Code
(which will be referred to hereinafter) are good enough to deal with all these crimes.",4.,5.
"The petitioners' various counsel raised a large number of points as to the constitutionality of
Section 66A.",5.,"According to them, first and foremost Section 66A infringes the fundamental right to
free speech and expression and is not saved by any of the eight subjects covered in Article 19(2)."
"According to them, first and foremost Section 66A infringes the fundamental right to
free speech and expression and is not saved by any of the eight subjects covered in Article 19(2).","The petitioners' various counsel raised a large number of points as to the constitutionality of
Section 66A.","According to them, the causing of annoyance, inconvenience, danger, obstruction, insult, injury,
criminal intimidation, enmity, hatred or ill- will are all outside the purview of Article 19(2)."
"Further,
in creating an offence, Section 66A suffers from the vice of vagueness because unlike the offence
created by Section 66 of the same Act, none of the aforesaid terms are even attempted to be defined
and cannot be defined, the result being that innocent persons are roped in as well as those who are
not.","According to them, the causing of annoyance, inconvenience, danger, obstruction, insult, injury,
criminal intimidation, enmity, hatred or ill- will are all outside the purview of Article 19(2).","Such persons are not told clearly on which side of the line they fall; and it would be open to theShreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 3authorities to be as arbitrary and whimsical as they like in booking such persons under the said
Section."
"Such persons are not told clearly on which side of the line they fall; and it would be open to theShreya Singhal vs U.O.I on 24 March, 2015
Indian Kanoon - http://indiankanoon.org/doc/110813550/ 3authorities to be as arbitrary and whimsical as they like in booking such persons under the said
Section.","Further,
in creating an offence, Section 66A suffers from the vice of vagueness because unlike the offence
created by Section 66 of the same Act, none of the aforesaid terms are even attempted to be defined
and cannot be defined, the result being that innocent persons are roped in as well as those who are
not.","In fact, a large number of innocent persons have been booked and many instances have
been given in the form of a note to the Court."
"The enforcement of the said Section would really be an
insidious form of censorship which impairs a core value contained in Article 19(1)(a).","In fact, a large number of innocent persons have been booked and many instances have
been given in the form of a note to the Court.","In addition,
the said Section has a chilling effect on the freedom of speech and expression."
