Sentence,Previous,Next
"Laws of Arab States  (i) – (xiii) 
B.","Part -5 Abrogation of the practice of ‘talaq -e-biddat’ by 
legislation, the world over, in Islamic, as well 
as, non-Islamic States  28 - 29  
A.","Laws of Southeast Asian States  (i) – (iii) 
C.  Laws of Sub -continental States  (i) – (ii) 
6."
"Laws of Southeast Asian States  (i) – (iii) 
C.  Laws of Sub -continental States  (i) – (ii) 
6.","Laws of Arab States  (i) – (xiii) 
B.","Part -6 Judicial pronouncements, on the subject of 
‘talaq-e-biddat’  30 - 34  
7."
"140 -14 5 
V.  Did the Muslim Personal Law (Shariat) 
Application Act, 1937 confer statutory status 
to the subjects regulated by the said 
legislation?","If yes, whether it is a 
constituent of their ‘personal law’?","14 6-15 7 
VI."
"It is also her contention, that such a divorce which abruptly, 
unilaterally and irrevocably terminates the ties of matr imony, purportedly 
under Section 2 of the Muslim Personal Law (Shariat) A pplication Act, 1937 
(hereinafter referred to as, the Shariat Act), be decl ared unconstitutional.","The petitioner has sought a declaration , that the ‘talaq-e-
biddat’ pronounced by her husband on 10.10.2015 be declared as void ab 
initio .","During the course of hearing, it was submitted, that the  ‘talaq-e-biddat’      
(-triple talaq), pronounced by her husband is not vali d, as it is not a part of 
‘Shariat’ (Muslim ‘personal law’)."
"It is 
therefore, that the Muslim Personal Law (Sharait) Appli cation Act, 1937 
(hereinafter referred to, as the Shariat Act), was pas sed.","Muslim women 
claimed, that the Muslim ‘personal law’ be made applic able to them.","It is essential to 
understand, the background which resulted in the enactm ent of the Shariat 
Act."
"The same is recorded in the statement of objects a nd reasons, which is 
reproduced below: 
“For several years past it has been the cherished desi re of the Muslims of 
British India that Customary Law should in no case take  the place of 
Muslim Personal Law .","It is essential to 
understand, the background which resulted in the enactm ent of the Shariat 
Act.","The matter has been repeatedly agitated in the 
press as well as on the platform."
"Customary Law is a misnomer inasmuch as it has 
not any sound basis to stand upon and is very much li able to frequent 
changes and cannot be expected to attain at any time in the future that 
certainty and definiteness which must be the characteris tic of all laws.","The Jamiat-ul-Ulema -i-Hind, the 
greatest Moslem religious body has supported the deman d and invited 
the attention of all concerned to the urgent necessity of  introducing a 
measure to this effect .","The status of Muslim women under the so-called Customa ry Law is 
simply disgraceful."
"The status of Muslim women under the so-called Customa ry Law is 
simply disgraceful.","Customary Law is a misnomer inasmuch as it has 
not any sound basis to stand upon and is very much li able to frequent 
changes and cannot be expected to attain at any time in the future that 
certainty and definiteness which must be the characteris tic of all laws.","All the Muslim Women Organisatio ns have therefore 
condemned the Customary Law as it adversely affects thei r rights."
"All the Muslim Women Organisatio ns have therefore 
condemned the Customary Law as it adversely affects thei r rights.","The status of Muslim women under the so-called Customa ry Law is 
simply disgraceful.","They 
demand that the Muslim Personal Law (Shariat) should b e made 
applicable to them."
"They 
demand that the Muslim Personal Law (Shariat) should b e made 
applicable to them.","All the Muslim Women Organisatio ns have therefore 
condemned the Customary Law as it adversely affects thei r rights.","The introduction of Muslim Persona l Law will 
automatically raise them to the position to which they ar e naturally 
entitled ."
"The introduction of Muslim Persona l Law will 
automatically raise them to the position to which they ar e naturally 
entitled .","They 
demand that the Muslim Personal Law (Shariat) should b e made 
applicable to them.","In addition to this present measure, if enacted, wou ld have very 
salutary effect on society because it would ensure cer tainty and 29 definiteness in the mutual rights and obligations of the  public."
"Muslim 
Personal Law (Shariat) exists in the form of a veritab le code and is too 
well known to admit of any doubt or to entail any great l abour in the 
shape of research, which is the chief feature of Custo mary Law.” 
 
23.","In addition to this present measure, if enacted, wou ld have very 
salutary effect on society because it would ensure cer tainty and 29 definiteness in the mutual rights and obligations of the  public.","Sections 2, 3 and 5 of the Shariat Act are releva nt and are extracted 
hereunder: 
“2."
"Application of personal law to Muslims.- Notwithsta nding any 
customs or usage to the contrary, in all questions  (save questions 
relating to agricultural land) regarding intestate succe ssion, special 
property of females, including personal property in herited or obtained 
under contract or gift or any other provision of Perso nal Law, marriage, 
dissolution of marriage, including talaq, ila, zihar , lian, khula and 
mubaraat , maintenance, dower, guardianship, gifts, trusts and trust 
properties, and wakfs (other than charities and charita ble institutions 
and charitable and religious endowments) the rule of d ecision in cases 
where the parties are Muslims shall be the Muslim Pers onal Law 
(Shariat).” 
3.","Sections 2, 3 and 5 of the Shariat Act are releva nt and are extracted 
hereunder: 
“2.","Power to make a declaration.- (1) Any person who s atisfies the 
prescribed authority- 
(a) that he is a Muslim, and  
(b) that he is competent to contract within the meaning o f section 11 of 
the Contract Act, 1872 (9 of 1872), and  
(c) that he is a resident of the territories to which thi s Act extends, 
may by declaration in the prescribed form and filed before the prescribed 
authority declare that he desires to obtain the benefit of  the provisions of 
this section, and thereafter the provisions of section 2  shall apply to the 
declarant and all his minor children and their descen dants as if in 
addition to the matters enumerated therein adoption, w ills and legacies 
were also specified."
"Dissolution of marriage by Court in certain circu mstances.-The 
District Judge may, on petition made by a Muslim marrie d woman, 
dissolve a marriage on any ground recognized by Mus lim Personal Law 
(Shariat).” 
 
A close examination of Section 2, extracted above, lea ves no room for any 
doubt, that custom and usage, as it existed amongst Musli ms, were sought 30 to be expressly done away with, to the extent the same w ere contrary to 
Muslim ‘personal law’.","xxx  xxx  xxx 
5.","Section 2 also mandated, that M uslim ‘personal law’ 
(Shariat) would be exclusively adopted as “… the rul e of decision …” in 
matters of intestate succession, special property of fe males, including all 
questions pertaining to “… personal property inherite d or obtained under 
contract or gift or any other provision of ‘personal la w’, marriage, 
dissolution of marriage, including talaq, ila, zihar , lian, khula and 
mubaraat, maintenance, dower, gifts, trusts and trust pro perties, and wakfs 
…”."
"The Hanaf i Jurists 
however, have clearly laid down that in cases in whic h the application of 
Hanafi Law causes hardship, it is permissible to appl y the provisions of 
the “Maliki, Shafii or Hambali Law”.","The absence of such a provision has entailed unspeak able misery to 
innumerable Muslim women in British India.","Acting on this principle the Ulemas have issued fatwa s to the effect that 
in cases enumerated in clause 3, Part A of this Bill (now see section 2 of 
the Act), a married Muslim woman may obtain a decree d issolving her 
marriage."
"This view has been repeatedly challenged at the bar, but the 
Courts continue to stick to precedents created by rul ings based on an 
erroneous view of the Muslim Law.","The Courts in British India have held in a number of cases 
that the apostasy of a married Muslim woman ipso facto dissolves her 
marriage.","The Ulemas have i ssued Fatwas 
supporting non-dissolution of marriage by reason of wife’s apostasy."
"Thus, by this Bill the whole Law relating to dissolution  of marriages is 
brought at one place and consolidated in the hope that it would supply a 
very long felt want of the Muslim Community in India”.","Any number 
of articles have been appearing in the press demandin g legislation to 
rectify the mistake committed by the Courts; hence clause 5 (now see 
section 4) is proposed to be incorporated in this Bill .",32 26.
"‘Muslim Law in India and Abroad’, by Tahir Mahm ood and Saif 
Mahmood (Universal Law Publishing Co. Pvt.","Abrogation of the practice of ‘talaq-e-biddat’ by legis lation, the world over, in  
Islamic, as well as, non-Islamic States : 
 
28.","Ltd., New Delhi, 2012 edition), 
records the following position about the abrogation of the practice of ‘talaq-
e-biddat’ as a means of divorce, through statutory ena ctments, the world 
over."
"Laws of Arab States  
(i)  Algeria : Is a theocratic State, which declares Islam to be its official 
religion.",34 A.,Muslims of the Sunni sect constitute its majo rity.
"On the issue in 
hand, it has enacted the following legislation:  
Code of Family Law 1984 
Law No.84-11 of 1984 as amended in 2005 
“Article 49.",Muslims of the Sunni sect constitute its majo rity.,"Divorce cannot be established except by a judgment of the 
court, preceded by an attempt at reconciliation for a period not exceeding 
three months.” 
 
(ii)  Egypt : Is a secular State."
"On the issue in hand, it has enacted the fo llowing legislation: 
Law of Personal Status 1929 
Law 25 of 1929 as amended by Law 100 of 1985 
“Article 1.","Muslims of the Sunni sect consti tute its 
majority.","A Talaq pronounced under the effect of into xication or 
compulsion shall not be effective."
"On the iss ue in hand, it has 
enacted the following legislation: 
Code of Personal Status 1959 
Law 188 of 1959 as amended by Law 90 of 1987 
“Article 35.",The majority of Iraq’s Muslims is Shias.,"No divorce shall be effective when pron ounced by the 
persons mentioned below: 
(a)  one who is intoxicated, insane or imbecile, und er duress, or not in 
his senses due to anger, sudden calamity, old age or  sickness; 
(b) a person in death-sickness or in a condition whic h in all probabilities 
is fatal and of which he actually dies, survived by h is wife.” 
   xxx   xxx   xxx 
Article 37."
"On the issue in hand, it has enacted the fol lowing legislation: 
Code of Personal Status 1976 
Law 61 of 1976 
“Article 88.","Muslims of the Sunni sect cons titute its 
majority.","(1) Talaq shall not be effective if prono unced under 
intoxication, bewilderment, compulsion, mental disord er, depression or 
effect of sleep."
"On the issue in 
hand, it has the following legislation in place: 
Code of Personal Status 1984 
Law 51 of 1984 
“Article 102.",Muslims of the Sunni sect constitute its majo rity.,"Talaq may be effected by major and san e men acting by 
their free will and understanding the implications of their action."
"On th e issue in hand, it 
has enacted the following legislation: 
Family Rights Law 1962 
Law of 16 July 1962 
“Article 104.","Muslims constitute its majority,  which is 
estimated to be 54% (27% Shia, and 27% Sunni).",A divorce by a drunk person shall have  no effect.
"On the issue in 
hand, it has enacted the following legislation: 
Family Law 1984 
Law 10 of 1984 as amended by Law 15 of 1984 
“Article 28.",Muslims of the Sunni sect constitute its majo rity.,Divorce is termination of the marriage bo nd.
"On the issue in 
hand, it has enacted the following legislation: 
Code of Personal Status 2004 
Law 70.03 of 2004 
“Article 79.",Muslims of the Sunni sect constitute its majo rity.,"Whoever divorces his wife by Talaq must petition the court 
for permission to register it with the Public Notaries  of the area where the 
matrimonial home is situate, or where the wife resides , or where the 
marriage took place ."
"On the issue in 
hand, it has the following legislation in place: 
Law on Talaq 1935 
Judicial Proclamation No.4 of 1935 
“Article 1.",Muslims of the Sunni sect constitute its majo rity.,"A divorce uttered in a state of intoxicatio n or under duress 
shall be invalid and ineffective."
"On the issue in hand, it has enacted the fol lowing legislation: 
Code of Personal Status 1953 
Law 59 of 1953 as amended by Law 34 of 1975 
“Article 89.","Muslims of the Sunni sect const itute its 
majority.","No divorce shall take place when the man is drunk, out of his 
senses, or under duress."
"On the issue in 
hand, it has enacted the following legislation: 
Code of Personal Status 1956 
Law 13-8 of 1956 as amended by Law 7 of 1981 
“Article 31.",Muslims of the Sunni sect constitute its majo rity.,"(1) A decree of divorce shall be given: (i) with the mutual 
consent of the parties; or (ii) at the instance of either party on the ground 
of injury; or (iii) if the husband insists on divor ce or the wife demands it."
"On the issue in hand, it has the 
following legislation in place: 
Law of Personal Status 2005 
Federal Law No.28 of 2005 
“Article 140(1).",Muslims of 40 the Shia sect constitute its majority.,"If a husband divorces his wife aft er consummation of a 
valid marriage by his unilateral action and without an y move for divorce 
from her side, she will be entitled to compensation bes ides maintenance 
for Iddat."
"Laws of Southeast Asian States  
(i) Indonesia :  The Constitution of Indonesia guarantees freedom o f religion 
among Indonesians.","The court may decide if the 
compensation will be paid as a lump sum or in instalm ents.” 41 B.","However, the Government recognize s only six official 
religions – Islam, Protestantism, Catholicism, Hinduism , Buddhism, and 
Confucianism."
